"taxon","NM","SD","LD","dist_.km.","bearing","D","I","rank.corr","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","X1_dietary.cat","X2_dietary.cat","X3_dietary.cat","X4_dietary.cat","herbivore","omnivore","carnivore","aerial.foraging","scansorial.foraging","arboreal.foraging","ground.level.aquatic.foraging","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","Occurs.on.mainland","Island.endemic","disected_by_mountains","glaciation","Nearctic","Neotropical","HB1","HB2","HB3","HB4"
"Ametrida_centurio",0,1,0,308.0364726,-122.5098199,0.129349643,0.354433872,0.301357647,11.305,0.29,55,29,6025.173,NA,343.884,NA,475.773,111.907,NA,1,1.91,244.586,NA,38.145,NA,2037.805,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2100,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Anoura_caudifer",0,1,0,515.8896458,-124.354812,0.51408284,0.527899801,0.297001859,11.155,0.422,57.16,36.25,4707.583,NA,427.843,NA,532.35,107.97,NA,0.995,1.666,249.319,2.14,56.531,NA,2040.048,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,0,1,0,0,0,1,0,2880,200,2680,0,1,0,1,0,0,1,1,0,0,0
"Anoura_cultrata",0,1,0,239.5345662,-86.23459336,0.164978359,0.401260449,0.269374164,17.39,0.556,78,42.8,4680.145,NA,346.051,NA,457.491,116.695,NA,1.22,1.749,243.755,3.65,56.366,NA,1967.697,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,1,0,0,0,0,1,0,2600,50,2550,0,1,0,1,0,0,1,0,1,0,0
"Anoura_geoffroyi",0,1,0,193.0514483,-36.53344751,0.614001721,0.707053254,0.510525461,15.2,0.583,73,42.66,3650,NA,500.387,NA,630.647,121.76,NA,1,1,365,5.1,62.5,8.24,1963.008,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,0,0,1,0,0,1,0,3600,400,3200,0,1,0,1,0,0,1,0,0,1,0
"Artibeus_amplus",1,0,0,79.18697465,-135.4608684,0.486242838,0.686896236,0.248557286,61.04,1.141,92.325,70.5,6011.063,NA,383.434,NA,511.639,117.123,NA,1,1.826,238.248,NA,46.324,NA,2074.716,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,2630,25,2605,0,1,0,1,0,0,1,1,0,0,0
"Artibeus_concolor",1,0,0,99.24440893,-51.31748104,0.565633679,0.584234999,0.523660131,19.675,0.633,71.683,47.34,5840.654,NA,352.735,NA,481.318,114.131,NA,0.989,1.89,238.343,NA,45.85,NA,2064.512,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,1,0,0,0,0,1,0,1000,NA,NA,0,1,0,0,0,0,1,1,0,0,0
"Artibeus_fimbriatus",0,1,0,381.5192429,-117.7519689,0.245558117,0.273203921,0.199866388,63.895,1.149,91.141,NA,5950.901,NA,392.648,NA,518.744,117.544,NA,0.992,1.801,237.943,NA,47.592,NA,2094.158,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Artibeus_fraterculus",0,1,0,181.7978399,-179.4833596,0.502904662,0.572923115,0.556664099,45.65,0.947,93,56,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1876.919,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Artibeus_hirsutus",0,1,0,218.227584,-43.42803599,0.403811087,0.535077771,0.468419717,40.42,0.804,70,55.88,6227.931,NA,316.646,NA,445.714,112.195,NA,0.98,1.963,229.487,NA,36.594,NA,1948.277,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Artibeus_jamaicensis",0,0,1,1243.165411,-43.60856951,0.549430288,0.599447447,0.4171038,46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1
"Artibeus_lituratus",0,1,0,357.0110306,23.26347387,0.586528119,0.615930682,0.555148056,46.1,1.05,93,70.33,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1878.836,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Artibeus_obscurus",0,1,0,274.6529004,-72.30420445,0.725951693,0.818098634,0.688468789,45.65,0.994,93,NA,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1879.597,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,500,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Artibeus_planirostris",0,1,0,304.9835506,152.9827808,0.729812962,0.835829824,0.592721236,47,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,20,0,80,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,1,0,NA,NA,0,1,0,1,0,0
"Carollia_brevicauda",0,1,0,557.7758967,-55.84668984,0.707645666,0.721445861,0.444261198,14.85,0.551,70,40.26,5397.685,NA,415.332,NA,536.402,114.949,NA,0.98,1.724,234.833,NA,61.246,NA,2093.991,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Carollia_castanea",0,1,0,896.3118737,-51.80318779,0.458621056,0.646242335,0.411814437,13.1,0.448,60,36.2,5615.965,NA,361.569,NA,489.606,111.668,NA,0.99,1.818,235.505,NA,59.1,NA,2040.463,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1100,50,1050,0,1,0,1,0,0,1,0,1,0,0
"Carollia_perspicillata",0,1,0,674.5112224,-42.3096079,0.767903433,0.786440895,0.619825676,16.4,0.47,66.995,42.45,6205,298.14,258,258,410.62,95,NA,1,2,158.891,5,35.63,12.5,1847.535,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Carollia_sowelli",0,1,0,263.8328424,-84.33231273,0.424597775,0.629508711,0.503271111,16.5,0.528,70,40.26,5401.267,NA,374.724,NA,497.208,114.251,NA,0.98,1.757,232.652,NA,57.757,NA,2066.746,20,0,80,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,1,0,NA,NA,0,1,0,1,0,0
"Carollia_subrufa",0,1,0,360.5916451,-64.81068617,0.608191229,0.753083777,0.322330302,14.47,0.531,60.5,39.41,5907.815,NA,293.572,NA,413.047,112.86,NA,0.985,2,235.366,NA,64.567,NA,1881.258,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1200,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Centurio_senex",0,0,1,1310.61175,-62.24854866,0.399852224,0.58537609,0.331815086,23.09,0.688,68,44,5883.757,NA,370.66,NA,495.951,115.425,NA,0.995,1.858,240.505,NA,51.375,NA,2079.503,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1400,NA,NA,1,1,0,0,0,0,1,0,1,0,0
"Chiroderma_salvini",0,1,0,585.1733465,129.7408984,0.329887,0.55139269,0.319289859,26.3,0.787,87,47.5,5747.088,NA,371.443,NA,495.238,116.726,NA,0.99,1.813,242.496,NA,53.354,NA,2090.563,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Chiroderma_trinitatum",0,1,0,174.1834647,-30.01280107,0.816633256,0.872503558,0.698903542,13.91,0.537,70,36.38,5771.293,NA,376.183,NA,498.997,114.695,NA,0.98,1.852,241.171,NA,52.354,NA,2069.789,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1000,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Chiroderma_villosum",0,1,0,227.5410614,-62.18047932,0.6912282,0.793093927,0.496535243,23.81,0.706,71.495,45.51,5636.694,NA,410.339,NA,532.274,121.66,NA,0.99,1.725,243.625,NA,53.849,NA,2132.481,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,600,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Choeroniscus_godmani",0,1,0,673.7757243,-57.43067017,0.230550554,0.406975068,0.23425689,7.9,0.34,58,34,4701.682,NA,425.652,NA,534.886,114.4,NA,0.98,1.62,260.245,NA,53.774,NA,2051.861,30,0,70,30,0,0,0,0,0,40,30,0,0,0,0,1,0,0,1,0,0,0,1,0,1600,0,1600,0,1,0,1,0,0,1,0,1,0,0
"Choeronycteris_mexicana",1,0,0,49.55150701,30.52795342,0.518839264,0.632897113,0.499041939,19.13,0.546,79.5,44.49,4790.724,NA,315.589,NA,431.461,115.489,NA,0.995,1,319.036,4.85,17.5,NA,1887.791,20,0,80,20,0,0,0,0,0,40,40,0,0,0,0,1,0,0,1,0,0,0,1,0,2400,300,2100,0,1,0,1,0,1,1,0,0,0,1
"Chrotopterus_auritus",0,1,0,136.0602996,139.9658281,0.30828961,0.531816223,0.375225355,84.38,2.64,108.5,82.56,5894.622,547.875,547.875,547.875,700.92,153.045,NA,0.995,1,355.199,NA,273.96,NA,2310.677,30,40,30,30,0,20,20,0,0,30,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Dermanura_anderseni",0,1,0,412.3676507,96.95601946,0.38505639,0.609990006,0.365825956,6.91,0.511,58.039,35.49,5829.655,NA,388.003,NA,512.124,114.97,NA,0.98,1.849,242.16,NA,41.422,NA,2093.202,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,1300,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Dermanura_azteca",0,1,0,156.9288905,-87.42684696,0.553618298,0.57044283,0.477835313,16.755,0.57,75,44.36,6307.819,NA,294.255,NA,416.374,115.3,NA,0.99,2,221.613,NA,35.735,NA,1915.893,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,3000,600,2400,0,1,0,1,0,0,1,0,1,0,0
"Dermanura_bogotensis",0,1,0,428.2769886,78.96155124,0.537480737,0.724040211,0.358710913,12.505,0.476,47,NA,5899.32,NA,361.781,NA,481.573,117.993,NA,0.99,1.88,236.771,NA,38.649,NA,2108.266,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,2600,100,2500,0,NA,NA,0,0,0,1,1,0,0,0
"Dermanura_cinerea",0,1,0,893.6137861,-36.31479331,0.267691805,0.517176798,0.18983981,12.7,0.468,56.649,38.99,6081.847,NA,303.854,NA,437.293,111.335,NA,0.99,1.968,233.383,NA,34.97,NA,1937.837,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0
"Dermanura_glauca",1,0,0,28.95428945,-156.7181236,0.772735721,0.814053779,0.505467584,12.505,0.476,47,NA,5984.62,NA,354.741,NA,477.199,117.278,NA,0.99,1.904,235.076,NA,36.691,NA,2102.364,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,0
"Dermanura_gnomus",0,1,0,428.5663637,-68.16889466,0.640473945,0.696529458,0.500919857,12.31,0.471,47,NA,5859.848,NA,367.406,NA,485.258,117.169,NA,0.99,1.864,238.81,NA,40.633,NA,2108.511,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,800,NA,NA,NA,1,0,NA,NA,0,1,1,0,0,0
"Dermanura_phaeotis",0,1,0,530.8431916,-59.43576962,0.52970261,0.663064231,0.526906939,11.69,0.448,57.25,38.55,6207.577,NA,280.379,NA,404.335,111.805,NA,0.99,2,225.504,2.52,32.375,7.59,1880.237,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,1200,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Dermanura_tolteca",0,1,0,403.3324811,-70.09747698,0.473618801,0.635348475,0.457570484,14.085,0.544,65,39.5,6213.954,NA,287.692,NA,411.114,113.684,NA,0.99,2,225.425,NA,35.519,NA,1880.849,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Dermanura_watsoni",0,1,0,161.9147673,169.2253218,0.515503571,0.5897288,0.438697261,12.31,0.447,52.5,NA,6078.628,NA,334.701,NA,466.957,112.813,NA,0.995,1.929,235.806,NA,37.599,NA,2049.614,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,800,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Desmodus_rotundus",0,0,1,1334.164064,-29.70106922,0.674661821,0.701971528,0.50745149,33.18,0.882,85.5,58.29,10658,285,285,285,285,189,NA,1,1.26,288.777,8,274,NA,2779.798,0,100,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2400,NA,NA,0,1,0,1,0,1,1,0,0,1,0
"Diaemus_youngi",0,1,0,897.656836,142.9770032,0.343996416,0.52165515,0.216563204,36.6,0.97,115,50.78,7300,NA,585.355,NA,740.942,258.74,NA,1,1.101,357.649,NA,212.258,NA,2495.806,0,100,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Diphylla_ecaudata",0,0,1,1153.432683,-41.71884902,0.336649585,0.456114585,0.088618248,28.11,0.802,82.495,54.99,2974.75,273.96,312.849,NA,412.099,213.08,NA,1,1.5,263.327,4.8,113.549,NA,1606.678,0,100,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1900,NA,NA,0,1,0,1,0,1,1,0,0,0,1
"Ectophylla_alba",0,1,0,102.477995,-13.12872844,0.25477707,0.305771438,0.284173199,5.55,0.529,47,28.65,6169.197,NA,353.28,NA,477.994,122.092,NA,0.995,2,243.012,NA,24.98,NA,2190,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,700,NA,NA,0,1,0,0,0,0,1,1,0,0,0
"Enchisthenes_hartii",0,1,0,246.1483116,-28.27735266,0.461147963,0.595765139,0.461337048,16.99,0.51,68.5,39.82,5522.029,NA,451.156,NA,566.384,118.392,NA,0.99,1.681,246.796,NA,61.077,NA,2140.667,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,1,0,0,0,0,1,0,3540,0,3540,0,1,0,1,0,1,1,1,0,0,0
"Erophylla_sezekorni",0,1,0,279.8890973,75.2080493,0.093011811,0.242985355,0.174711287,16.1,0.581,75.085,47.5,4513.78,NA,499.176,NA,635.096,136.98,NA,1,1,345.057,4.5,60.88,NA,2120.295,30,0,70,30,0,0,0,0,0,40,30,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,NA,1,0,1,0,0,0,1,1,0,0,0
"Gardnerycteris_crenulata",0,1,0,245.6863381,-148.9030325,0.436625345,0.577939138,0.366575347,13.91,0.34,75,48.84,7300,547.875,547.875,547.875,724.921,144.393,NA,0.995,1,365.101,NA,273.96,NA,2443.84,50,0,50,50,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Glossophaga_commissarisi",0,1,0,317.1599899,-96.31657358,0.54933247,0.568247199,0.397019353,9.3,0.428,65,34.37,4711.636,NA,299.445,NA,407.623,110.677,NA,1,2,235.451,NA,51.72,NA,1829.014,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,0,1,0,0,0,1,0,2400,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Glossophaga_leachii",0,1,0,192.997526,-96.76740408,0.404427154,0.571988009,0.417800626,10.7,0.477,59,35.71,4015,NA,268.763,NA,383.259,107.255,NA,1,2,228.318,0.38,46.65,NA,1637.825,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,0,1,0,0,0,1,0,2400,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Glossophaga_longirostris",0,1,0,625.2502404,96.0168203,0.079588231,0.279540289,-0.013676994,10.9,0.435,53.995,38.49,4015,NA,275.191,NA,391.563,107.255,NA,1,2,235.849,NA,46.65,NA,1652.084,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,0,1,0,0,0,1,0,2250,0,2250,0,1,0,1,0,0,1,0,0,1,0
"Glossophaga_morenoi",0,1,0,161.4976507,119.1183199,0.457483007,0.583786027,0.509568333,8.54,0.398,58,34.5,4791.508,NA,345.628,NA,460.409,111.288,NA,1,1.796,248.584,NA,51.861,NA,1948.082,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,0,1,0,0,0,1,0,1500,0,1500,0,1,0,1,0,0,1,0,0,1,0
"Glossophaga_soricina",0,1,0,819.2167176,-41.19653765,0.549931945,0.677046896,0.455111763,10.25,0.39,53.995,35.7,4015,NA,274.371,NA,390.925,107.255,NA,1,2,243.993,NA,46.65,NA,1670.54,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1
"Hsunycteris_thomasi",0,1,0,110.5597735,-122.5482248,0.606677359,0.774929722,0.586840567,7.09,0.344,57,32.49,5091.473,NA,388.005,NA,499.99,114.418,NA,0.99,1.706,247.149,NA,55.991,NA,2054.035,40,0,60,40,0,0,0,0,0,30,30,0,0,0,0,1,0,0,1,0,0,0,1,0,850,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Hylonycteris_underwoodi",1,0,0,63.88054308,-154.8233025,0.496029836,0.513443343,0.383952993,7.5,0.435,59.92,34,4752.69,NA,457.352,NA,570.651,118.58,NA,1,1,342.834,1.19,63.804,NA,2044.405,10,0,90,10,0,0,0,0,0,40,50,0,0,0,1,0,0,1,0,0,0,0,1,0,2640,50,2590,0,1,0,1,0,0,1,0,1,0,0
"Leptonycteris_curasoae",0,0,1,1537.175351,-57.5340541,0.177861238,0.350623415,0.17504361,25,0.55,86,52.79,3686.5,NA,452.68,NA,569.702,121.83,NA,0.995,1,344.685,NA,41.99,NA,2190,20,0,80,20,0,0,0,0,0,40,40,0,0,0,0,1,0,1,0,0,0,0,1,0,1500,0,1500,0,1,0,1,0,0,1,0,1,0,0
"Leptonycteris_nivalis",0,1,0,507.5982703,-20.26195491,0.503915475,0.612775387,0.470699329,22.63,0.586,93,56.78,3650,NA,310.8,NA,401.708,121.66,NA,1,1,330.984,7.8,50.731,NA,1575.469,20,0,80,20,0,0,0,0,0,40,40,0,0,0,0,1,0,0,1,0,0,0,1,0,3500,500,3000,0,1,0,1,0,1,1,0,0,1,0
